ID,óöóID,ì˙éû,ê¸åaÉ m
23995624206,24705,2021-11-23 06:05:44.907,0.11736
23995624207,24705,2021-11-23 06:05:44.933,0.11592
23995624208,24705,2021-11-23 06:05:44.947,0.11631
23995624209,24705,2021-11-23 06:05:44.967,0.11749
23995624210,24705,2021-11-23 06:05:44.987,0.11492
23995624211,24705,2021-11-23 06:05:45.007,0.11655
23995624212,24705,2021-11-23 06:05:45.027,0.11766
23995624213,24705,2021-11-23 06:05:45.047,0.11791
23995624214,24705,2021-11-23 06:05:45.067,0.11822
23995624215,24705,2021-11-23 06:05:45.087,0.11819
23995624216,24705,2021-11-23 06:05:45.103,0.11606
23995624217,24705,2021-11-23 06:05:45.127,0.11722
23995624218,24705,2021-11-23 06:05:45.147,0.11944
23995624219,24705,2021-11-23 06:05:45.167,0.11861
23995624220,24705,2021-11-23 06:05:45.183,0.11808
23995624221,24705,2021-11-23 06:05:45.203,0.1177
23995624222,24705,2021-11-23 06:05:45.237,0.11819
23995624223,24705,2021-11-23 06:05:45.247,0.1184
23995624224,24705,2021-11-23 06:05:45.263,0.11722
23995624225,24705,2021-11-23 06:05:45.287,0.11847
23995624226,24705,2021-11-23 06:05:45.307,0.11777
23995624227,24705,2021-11-23 06:05:45.327,0.11819
23995624228,24705,2021-11-23 06:05:45.347,0.11613
23995624229,24705,2021-11-23 06:05:45.363,0.11843
23995624230,24705,2021-11-23 06:05:45.387,0.11701
23995624231,24705,2021-11-23 06:05:45.407,0.11909
23995624232,24705,2021-11-23 06:05:45.423,0.11787
23995624233,24705,2021-11-23 06:05:45.447,0.11606
23995624234,24705,2021-11-23 06:05:45.467,0.12142
23995624235,24705,2021-11-23 06:05:45.487,0.11752
23995624236,24705,2021-11-23 06:05:45.507,0.11861
23995624237,24705,2021-11-23 06:05:45.540,0.12072
23995624238,24705,2021-11-23 06:05:45.547,0.11777
23995624239,24705,2021-11-23 06:05:45.563,0.11759
23995624240,24705,2021-11-23 06:05:45.587,0.1193
23995624241,24705,2021-11-23 06:05:45.603,0.11989
23995624242,24705,2021-11-23 06:05:45.627,0.11857
23995624243,24705,2021-11-23 06:05:45.643,0.11558
23995624244,24705,2021-11-23 06:05:45.667,0.11878
23995624245,24705,2021-11-23 06:05:45.690,0.11857
23995624246,24705,2021-11-23 06:05:45.707,0.11746
23995624247,24705,2021-11-23 06:05:45.727,0.11645
23995624248,24705,2021-11-23 06:05:45.743,0.11596
23995624249,24705,2021-11-23 06:05:45.767,0.11777
23995624250,24705,2021-11-23 06:05:45.787,0.11951
23995624251,24705,2021-11-23 06:05:45.803,0.11773
23995624252,24705,2021-11-23 06:05:45.827,0.11833
23995624253,24705,2021-11-23 06:05:45.843,0.11812
23995624254,24705,2021-11-23 06:05:45.867,0.11763
23995624255,24705,2021-11-23 06:05:45.887,0.11896
23995624256,24705,2021-11-23 06:05:45.907,0.11958
23995624257,24705,2021-11-23 06:05:45.927,0.11763
23995624258,24705,2021-11-23 06:05:45.947,0.11896
23995624259,24705,2021-11-23 06:05:45.967,0.11648
23995624260,24705,2021-11-23 06:05:45.993,0.11579
23995624261,24705,2021-11-23 06:05:46.007,0.11718
23995624262,24705,2021-11-23 06:05:46.027,0.11749
23995624263,24705,2021-11-23 06:05:46.047,0.11666
23995624264,24705,2021-11-23 06:05:46.067,0.11715
23995624265,24705,2021-11-23 06:05:46.087,0.11666
23995624266,24705,2021-11-23 06:05:46.107,0.11916
23995624267,24705,2021-11-23 06:05:46.123,0.11739
23995624268,24705,2021-11-23 06:05:46.147,0.11951
23995624269,24705,2021-11-23 06:05:46.167,0.11752
23995624270,24705,2021-11-23 06:05:46.187,0.11833
23995624271,24705,2021-11-23 06:05:46.203,0.11502
23995624272,24705,2021-11-23 06:05:46.227,0.11631
23995624273,24705,2021-11-23 06:05:46.243,0.11641
23995624274,24705,2021-11-23 06:05:46.267,0.11805
23995624275,24705,2021-11-23 06:05:46.293,0.11631
23995624276,24705,2021-11-23 06:05:46.303,0.11704
23995624277,24705,2021-11-23 06:05:46.327,0.11784
23995624278,24705,2021-11-23 06:05:46.347,0.11822
23995624279,24705,2021-11-23 06:05:46.367,0.11794
23995624280,24705,2021-11-23 06:05:46.383,0.11715
23995624281,24705,2021-11-23 06:05:46.407,0.11749
23995624282,24705,2021-11-23 06:05:46.427,0.11722
23995624283,24705,2021-11-23 06:05:46.447,0.1185
23995624284,24705,2021-11-23 06:05:46.467,0.11641
23995624285,24705,2021-11-23 06:05:46.487,0.11704
23995624286,24705,2021-11-23 06:05:46.507,0.1184
23995624287,24705,2021-11-23 06:05:46.527,0.1169
23995624288,24705,2021-11-23 06:05:46.547,0.11687
23995624289,24705,2021-11-23 06:05:46.567,0.11805
23995624290,24705,2021-11-23 06:05:46.600,0.11812
23995624291,24705,2021-11-23 06:05:46.607,0.11579
23995624292,24705,2021-11-23 06:05:46.627,0.11722
23995624293,24705,2021-11-23 06:05:46.647,0.11687
23995624294,24705,2021-11-23 06:05:46.667,0.11613
23995624295,24705,2021-11-23 06:05:46.687,0.11801
23995624296,24705,2021-11-23 06:05:46.707,0.11808
23995624297,24705,2021-11-23 06:05:46.727,0.11569
23995624298,24705,2021-11-23 06:05:46.747,0.11749
23995624299,24705,2021-11-23 06:05:46.767,0.11784
23995624300,24705,2021-11-23 06:05:46.787,0.11854
23995624301,24705,2021-11-23 06:05:46.807,0.11715
23995624302,24705,2021-11-23 06:05:46.827,0.11669
23995624303,24705,2021-11-23 06:05:46.847,0.11697
23995624304,24705,2021-11-23 06:05:46.867,0.11673
23995624305,24705,2021-11-23 06:05:46.897,0.11732
23995624306,24705,2021-11-23 06:05:46.907,0.1193
23995624307,24705,2021-11-23 06:05:46.927,0.11836
23995624308,24705,2021-11-23 06:05:46.947,0.1178
23995624309,24705,2021-11-23 06:05:46.967,0.11791
23995624310,24705,2021-11-23 06:05:46.987,0.11829
23995624311,24705,2021-11-23 06:05:47.007,0.11815
23995624312,24705,2021-11-23 06:05:47.027,0.11833
23995624313,24705,2021-11-23 06:05:47.050,0.11474
23995624314,24705,2021-11-23 06:05:47.067,0.11794
23995624315,24705,2021-11-23 06:05:47.087,0.11638
23995624316,24705,2021-11-23 06:05:47.107,0.11861
23995624317,24705,2021-11-23 06:05:47.127,0.11912
23995624318,24705,2021-11-23 06:05:47.147,0.11899
23995624319,24705,2021-11-23 06:05:47.167,0.1184
23995624320,24705,2021-11-23 06:05:47.187,0.1185
23995624321,24705,2021-11-23 06:05:47.207,0.11847
23995624322,24705,2021-11-23 06:05:47.227,0.11864
23995624323,24705,2021-11-23 06:05:47.247,0.11912
23995624324,24705,2021-11-23 06:05:47.267,0.11885
23995624325,24705,2021-11-23 06:05:47.287,0.11655
23995624326,24705,2021-11-23 06:05:47.303,0.11885
23995624327,24705,2021-11-23 06:05:47.323,0.11586
23995624328,24705,2021-11-23 06:05:47.353,0.11589
23995624329,24705,2021-11-23 06:05:47.367,0.11854
23995624330,24705,2021-11-23 06:05:47.383,0.11603
23995624331,24705,2021-11-23 06:05:47.407,0.11652
23995624332,24705,2021-11-23 06:05:47.427,0.11683
23995624333,24705,2021-11-23 06:05:47.447,0.11801
23995624334,24705,2021-11-23 06:05:47.467,0.11711
23995624335,24705,2021-11-23 06:05:47.487,0.11937
23995624336,24705,2021-11-23 06:05:47.503,0.11617
23995624337,24705,2021-11-23 06:05:47.527,0.11558
23995624338,24705,2021-11-23 06:05:47.547,0.11583
23995624339,24705,2021-11-23 06:05:47.563,0.11683
23995624340,24705,2021-11-23 06:05:47.587,0.11777
23995624341,24705,2021-11-23 06:05:47.603,0.11645
23995624342,24705,2021-11-23 06:05:47.627,0.11766
23995624343,24705,2021-11-23 06:05:47.657,0.11687
23995624344,24705,2021-11-23 06:05:47.663,0.12069
23995624345,24705,2021-11-23 06:05:47.683,0.11586
23995624346,24705,2021-11-23 06:05:47.707,0.1169
23995624347,24705,2021-11-23 06:05:47.727,0.11516
23995624348,24705,2021-11-23 06:05:47.747,0.11889
23995624349,24705,2021-11-23 06:05:47.763,0.11903
23995624350,24705,2021-11-23 06:05:47.787,0.11627
23995624351,24705,2021-11-23 06:05:47.807,0.11843
23995624352,24705,2021-11-23 06:05:47.823,0.11794
23995624353,24705,2021-11-23 06:05:47.847,0.11648
23995624354,24705,2021-11-23 06:05:47.863,0.11631
23995624355,24705,2021-11-23 06:05:47.887,0.11819
23995624356,24705,2021-11-23 06:05:47.907,0.11847
23995624357,24705,2021-11-23 06:05:47.923,0.11673
23995624358,24705,2021-11-23 06:05:47.957,0.11906
23995624359,24705,2021-11-23 06:05:47.967,0.11666
23995624360,24705,2021-11-23 06:05:47.987,0.11784
23995624361,24705,2021-11-23 06:05:48.007,0.11829
23995624362,24705,2021-11-23 06:05:48.023,0.11773
23995624363,24705,2021-11-23 06:05:48.047,0.11808
23995624364,24705,2021-11-23 06:05:48.067,0.11534
23995624365,24705,2021-11-23 06:05:48.087,0.11697
23995624366,24705,2021-11-23 06:05:48.110,0.1185
23995624367,24705,2021-11-23 06:05:48.127,0.1178
23995624368,24705,2021-11-23 06:05:48.147,0.11787
23995624369,24705,2021-11-23 06:05:48.167,0.11791
23995624370,24705,2021-11-23 06:05:48.187,0.11715
23995624371,24705,2021-11-23 06:05:48.207,0.1162
23995624372,24705,2021-11-23 06:05:48.227,0.11773
23995624373,24705,2021-11-23 06:05:48.247,0.11854
23995624374,24705,2021-11-23 06:05:48.267,0.11951
23995624375,24705,2021-11-23 06:05:48.287,0.11492
23995624376,24705,2021-11-23 06:05:48.307,0.11777
23995624377,24705,2021-11-23 06:05:48.327,0.11641
23995624378,24705,2021-11-23 06:05:48.347,0.11763
23995624379,24705,2021-11-23 06:05:48.367,0.12125
23995624380,24705,2021-11-23 06:05:48.387,0.11739
23995624381,24705,2021-11-23 06:05:48.413,0.11725
23995624382,24705,2021-11-23 06:05:48.427,0.11746
23995624383,24705,2021-11-23 06:05:48.443,0.11868
23995624384,24705,2021-11-23 06:05:48.463,0.11777
23995624385,24705,2021-11-23 06:05:48.487,0.11801
23995624386,24705,2021-11-23 06:05:48.507,0.11773
23995624387,24705,2021-11-23 06:05:48.527,0.11968
23995624388,24705,2021-11-23 06:05:48.547,0.11673
23995624389,24705,2021-11-23 06:05:48.567,0.11655
23995624390,24705,2021-11-23 06:05:48.587,0.11666
23995624391,24705,2021-11-23 06:05:48.607,0.11857
23995624392,24705,2021-11-23 06:05:48.627,0.11794
